L,steps,a,b,w,n_runs,ts
50,2375,0.1,0.105,4,30,1677195497
50,2375,0.1,0.105,4.5,30,1677195904
50,2375,0.1,0.105,5,30,1677196328
50,2375,0.1,0.105,5.5,30,1677196788
50,2375,0.1,0.105,6,30,1677197254
50,2375,0.1,0.105,6.5,30,1677197714
60,3420,0.1,0.105,5,48,1677209144
60,3420,0.1,0.105,5.2,48,1677210466
60,3420,0.1,0.105,5.4,48,1677211842
60,3420,0.1,0.105,5.6,48,1677213241
60,3420,0.1,0.105,5.8,48,1677214637
60,3420,0.1,0.105,6,48,1677216069
60,3420,0.1,0.105,6.2,48,1677217714
60,3420,0.1,0.105,6.4,48,1677219889
60,3420,0.1,0.105,6.6,48,1677222214
60,3420,0.1,0.105,6.8,48,1677224247
